fig,panel,overhang,feed,n,ap,actual,a_lim_M0,pred_M0,a_lim_ae1,pred_ae1,margin_ae1,a_lim_ae2,pred_ae2,margin_ae2,a_lim_ae4,pred_ae4,margin_ae4
Fig18,top,65,y,11990.0,2.0,chatter,20.0,stable,0.11198782203824782,chatter,16.859084707593734,0.10078903983442304,chatter,18.843427452881922,0.1,chatter,18.999999999999996
Fig18,top,65,y,15980.0,2.0,chatter,20.0,stable,0.11147592328775535,chatter,16.941093834561517,0.10032833095897983,chatter,18.934548705068348,0.1,chatter,18.999999999999996
Fig18,top,65,y,17980.0,2.0,chatter,20.0,stable,0.2813083770263175,chatter,6.109635415559958,0.25317753932368575,chatter,6.899594906177731,0.2109812827697381,chatter,8.479513887413278
Fig18,top,65,y,7990.0,2.0,chatter,17.62068067211949,stable,0.11147592328775535,chatter,16.941093834561517,0.10032833095897983,chatter,18.934548705068348,0.1,chatter,18.999999999999996
Fig18,top,65,y,3000.0,1.1,chatter,2.2786460686205428,stable,0.17245179499886912,chatter,5.378594087740366,0.15520661549898224,chatter,6.087326764155961,0.12933884624915187,chatter,7.5047921169871525
Fig18,top,65,y,4740.0,1.2,chatter,6.046237183575081,stable,0.1,chatter,10.999999999999998,0.1,chatter,10.999999999999998,0.1,chatter,10.999999999999998
Fig18,top,65,y,5980.0,1.1,chatter,9.765039202438432,stable,0.1089250610582038,chatter,9.098686099539739,0.1,chatter,10.0,0.1,chatter,10.0
Fig18,top,65,y,6980.0,1.2,chatter,13.390755031939138,stable,0.13554375799511306,chatter,7.85322952343748,0.12198938219560175,chatter,8.836921692708312,0.10165781849633479,chatter,10.804306031249974
Fig18,top,65,y,7980.0,1.1,chatter,17.576002570577273,stable,0.10994365830026907,chatter,9.005124597507667,0.1,chatter,10.0,0.1,chatter,10.0
Fig18,top,65,y,9960.0,1.1,chatter,20.0,stable,0.16104399177300283,chatter,5.830431783822701,0.14493959259570252,chatter,6.589368648691891,0.12078299382975212,chatter,8.107242378430268
Fig18,top,65,y,11970.0,1.2,chatter,20.0,stable,0.10994365830026907,chatter,9.914681379099271,0.1,chatter,10.999999999999998,0.1,chatter,10.999999999999998
Fig18,top,65,y,15970.0,1.1,chatter,20.0,stable,0.11070914251807604,chatter,8.935945442088467,0.1,chatter,10.0,0.1,chatter,10.0
Fig18,top,65,y,17960.0,1.1,chatter,20.0,stable,0.27948445727069304,chatter,2.9358181515425077,0.25153601154362376,chatter,3.3731312794916746,0.20961334295301978,chatter,4.2477575353900106
Fig18,top,65,y,4760.0,0.3,chatter,6.099391410516809,stable,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig18,top,65,y,5990.0,0.3,chatter,9.798526666122264,stable,0.110964592929081,chatter,1.7035650929818138,0.1,chatter,1.9999999999999998,0.1,chatter,1.9999999999999998
Fig18,top,65,y,6990.0,0.3,chatter,13.429837830607685,stable,0.13741390591848138,chatter,1.1831851586983506,0.12367251532663324,chatter,1.4257612874426115,0.10306042943886104,chatter,1.910913544931134
Fig18,top,65,y,11990.0,0.3,chatter,20.0,stable,0.11198782203824782,chatter,1.6788627061390597,0.10078903983442304,chatter,1.9765141179322883,0.1,chatter,1.9999999999999998
Fig18,top,65,y,15990.0,0.3,chatter,20.0,stable,0.11224398296333409,chatter,1.67274906039283,0.10101958466700067,chatter,1.9697211782142556,0.1,chatter,1.9999999999999998
Fig18,top,65,y,7990.0,0.3,chatter,17.62068067211949,stable,0.11147592328775535,chatter,1.6911640751842272,0.10032833095897983,chatter,1.990182305760252,0.1,chatter,1.9999999999999998
Fig18,top,65,y,9970.0,0.3,chatter,20.0,stable,0.1624223403699273,chatter,0.8470365549266852,0.14618010633293457,chatter,1.052262838807428,0.12181675527744547,chatter,1.4627154065689139
Fig18,top,65,y,17980.0,0.3,chatter,20.0,stable,0.2813083770263175,chatter,0.06644531233399356,0.25317753932368575,chatter,0.1849392359266595,0.2109812827697381,chatter,0.4219270831119916
