n,f,ap,ae,H,D,z,chatter_label
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.2901411365617506
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.005144962477630675
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0038297659472219647
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.004526467656514588
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.006249241193754536
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0003463037565163631
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0027416307367299397
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.004576397280152691
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0012069662875839177
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0018674446814336584
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0034941704310842772
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0028978657680858695
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.014289297542463828
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0016389106805454739
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0027053807171773265
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.002624999774636904
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.00021856325250833855
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0012775419534917492
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0015572028913956903
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0021805170189163193
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0005046107488650566
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0013067125301386763
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.001240279008638973
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.002713533993806341
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0004786605455269371
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0021263991330105828
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0007121798334367812
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0014341049901160383
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0019719266830555996
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0022907471817834465
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.003214502170524313
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0034378249696931525
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0034549457217333914
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0029862581775597463
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0028904441434824298
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0033054148098190014
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.002470359484939409
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.0035742116004745667
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.003120095951550607
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.003445806147466035
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.004048492953351603
0.4,0.20000000298023224,0.5,1.0,0.17665000915527343,0.5,0.6666666666666666,0.007847573004663901
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.012019501715867301
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.013246972774586013
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.011004888458253679
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.011205895331749293
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.014283980112620118
0.4,0.20000000298023224,1.0,1.0,0.19084999084472656,0.5,0.6666666666666666,0.013189441132831273
